
===OBU
---TYPE 1
Mutant ./mutants/Type1/OBU/1, verdict: true
Mutant ./mutants/Type1/OBU/10, verdict: true
Mutant ./mutants/Type1/OBU/11, verdict: true
Mutant ./mutants/Type1/OBU/12, verdict: true
Mutant ./mutants/Type1/OBU/13, verdict: true
Mutant ./mutants/Type1/OBU/14, verdict: true
Mutant ./mutants/Type1/OBU/15, verdict: true
Mutant ./mutants/Type1/OBU/2, verdict: true
Mutant ./mutants/Type1/OBU/3, verdict: true
Mutant ./mutants/Type1/OBU/4, verdict: true
Mutant ./mutants/Type1/OBU/5, verdict: true
Mutant ./mutants/Type1/OBU/6, verdict: true
Mutant ./mutants/Type1/OBU/7, verdict: true
Mutant ./mutants/Type1/OBU/8, verdict: true
Mutant ./mutants/Type1/OBU/9, verdict: true
---TYPE 2
Mutant ./mutants/Type2/OBU/1, verdict: false
Mutant ./mutants/Type2/OBU/2, verdict: true
Mutant ./mutants/Type2/OBU/3, verdict: false
Mutant ./mutants/Type2/OBU/4, verdict: false
Mutant ./mutants/Type2/OBU/5, verdict: true
Mutant ./mutants/Type2/OBU/6, verdict: true
Mutant ./mutants/Type2/OBU/7, verdict: false
Mutant ./mutants/Type2/OBU/8, verdict: false
---TYPE 3
Mutant ./mutants/Type3/OBU/1, verdict: false
Mutant ./mutants/Type3/OBU/2, verdict: true
Mutant ./mutants/Type3/OBU/3, verdict: false
Mutant ./mutants/Type3/OBU/4, verdict: false
Mutant ./mutants/Type3/OBU/5, verdict: true
Mutant ./mutants/Type3/OBU/6, verdict: true
---TYPE 4
Mutant ./mutants/Type4/OBU/1, verdict: true
Mutant ./mutants/Type4/OBU/10, verdict: true
Mutant ./mutants/Type4/OBU/11, verdict: true
Mutant ./mutants/Type4/OBU/12, verdict: true
Mutant ./mutants/Type4/OBU/13, verdict: true
Mutant ./mutants/Type4/OBU/14, verdict: true
Mutant ./mutants/Type4/OBU/15, verdict: true
Mutant ./mutants/Type4/OBU/16, verdict: true
Mutant ./mutants/Type4/OBU/17, verdict: true
Mutant ./mutants/Type4/OBU/18, verdict: true
Mutant ./mutants/Type4/OBU/19, verdict: true
Mutant ./mutants/Type4/OBU/2, verdict: true
Mutant ./mutants/Type4/OBU/20, verdict: true
Mutant ./mutants/Type4/OBU/21, verdict: true
Mutant ./mutants/Type4/OBU/22, verdict: true
Mutant ./mutants/Type4/OBU/23, verdict: true
Mutant ./mutants/Type4/OBU/24, verdict: true
Mutant ./mutants/Type4/OBU/25, verdict: true
Mutant ./mutants/Type4/OBU/26, verdict: true
Mutant ./mutants/Type4/OBU/27, verdict: true
Mutant ./mutants/Type4/OBU/28, verdict: true
Mutant ./mutants/Type4/OBU/3, verdict: true
Mutant ./mutants/Type4/OBU/4, verdict: true
Mutant ./mutants/Type4/OBU/5, verdict: true
Mutant ./mutants/Type4/OBU/6, verdict: true
Mutant ./mutants/Type4/OBU/7, verdict: true
Mutant ./mutants/Type4/OBU/8, verdict: true
Mutant ./mutants/Type4/OBU/9, verdict: true
---TYPE 5
Mutant ./mutants/Type5/OBU/1, verdict: true
Mutant ./mutants/Type5/OBU/10, verdict: true
Mutant ./mutants/Type5/OBU/11, verdict: true
Mutant ./mutants/Type5/OBU/12, verdict: true
Mutant ./mutants/Type5/OBU/13, verdict: true
Mutant ./mutants/Type5/OBU/14, verdict: true
Mutant ./mutants/Type5/OBU/15, verdict: true
Mutant ./mutants/Type5/OBU/16, verdict: true
Mutant ./mutants/Type5/OBU/17, verdict: true
Mutant ./mutants/Type5/OBU/18, verdict: true
Mutant ./mutants/Type5/OBU/19, verdict: true
Mutant ./mutants/Type5/OBU/2, verdict: true
Mutant ./mutants/Type5/OBU/20, verdict: true
Mutant ./mutants/Type5/OBU/21, verdict: true
Mutant ./mutants/Type5/OBU/22, verdict: true
Mutant ./mutants/Type5/OBU/23, verdict: true
