des(0,80596,49488)    
(0,"<<{OBU}0 ?ELocation{p1=100}{OBU}0>> ",2)
(2,"<<{OBU}0 #RBC{RBC}0>> ",3)
(3,"<<{OBU}0 !MARequest{p1=100}{RBC}0>> ",1)
(1,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",4)
(4,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",5)
(5,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",5)
(5,"<<{RBC}0 i>> ",7)
(7,"<<{RBC}0 ?MARequest{p1=100}{RBC}0>> ",8)
(8,"<<{RBC}0 @getReleaseSpeed>> ",9)
(9,"<<{RBC}0 !MA{p1={distance=0,speed=80}}{OBU}0>> ",6)
(6,"<<{OBU}0 i>> ",11)
(11,"<<{OBU}0 ?MA{p1={distance=0,speed=80}}{OBU}0>> ",12)
(12,"<<{OBU}0 !DMIcmd{p1=80}>> ",10)
(10,"<<{OBU}0 ?ESpeed{p1=191}{OBU}0>> ",14)
(14,"<<{OBU}0 !EBcmd{p1=1}>> ",15)
(15,"<<{OBU}0 !DMIcmd{p1=80}>> ",13)
(13,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",13)
(10,"<<{OBU}0 ?ESpeed{p1=190}{OBU}0>> ",17)
(17,"<<{OBU}0 !EBcmd{p1=1}>> ",18)
(18,"<<{OBU}0 !DMIcmd{p1=80}>> ",16)
(16,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",16)
(10,"<<{OBU}0 ?ESpeed{p1=189}{OBU}0>> ",20)
(20,"<<{OBU}0 !EBcmd{p1=1}>> ",21)
(21,"<<{OBU}0 !DMIcmd{p1=80}>> ",19)
(19,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",19)
(10,"<<{OBU}0 ?ESpeed{p1=188}{OBU}0>> ",23)
(23,"<<{OBU}0 !EBcmd{p1=1}>> ",24)
(24,"<<{OBU}0 !DMIcmd{p1=80}>> ",22)
(22,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",22)
(10,"<<{OBU}0 ?ESpeed{p1=187}{OBU}0>> ",26)
(26,"<<{OBU}0 !EBcmd{p1=1}>> ",27)
(27,"<<{OBU}0 !DMIcmd{p1=80}>> ",25)
(25,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",25)
(10,"<<{OBU}0 ?ESpeed{p1=186}{OBU}0>> ",29)
(29,"<<{OBU}0 !EBcmd{p1=1}>> ",30)
(30,"<<{OBU}0 !DMIcmd{p1=80}>> ",28)
(28,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",28)
(10,"<<{OBU}0 ?ESpeed{p1=185}{OBU}0>> ",32)
(32,"<<{OBU}0 !EBcmd{p1=1}>> ",33)
(33,"<<{OBU}0 !DMIcmd{p1=80}>> ",31)
(31,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",31)
(10,"<<{OBU}0 ?ESpeed{p1=184}{OBU}0>> ",35)
(35,"<<{OBU}0 !EBcmd{p1=1}>> ",36)
(36,"<<{OBU}0 !DMIcmd{p1=80}>> ",34)
(34,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",34)
(10,"<<{OBU}0 ?ESpeed{p1=183}{OBU}0>> ",38)
(38,"<<{OBU}0 !EBcmd{p1=1}>> ",39)
(39,"<<{OBU}0 !DMIcmd{p1=80}>> ",37)
